Index,Input,Type
1,"Is Canberra the largest city in Australia?",Yes/No
2,"Is the Eiffel Tower located in New York?",Yes/No
3,"Is the sun larger than the moon?",Yes/No
4,"Is water composed of hydrogen and oxygen?",Yes/No
5,"Is Mount Everest the tallest mountain on Earth?",Yes/No
6,"Is Tokyo the capital of South Korea?",Yes/No
7,"Is English the official language of Brazil?",Yes/No
8,"Is Albert Einstein credited with the theory of relativity?",Yes/No
9,"Is the Nile River the longest river in the world?",Yes/No
10,"Is a tomato classified as a fruit?",Yes/No
11,"Is Microsoft founded by Bill Gates?",Yes/No
12,"Is the Great Wall of China visible from space?",Yes/No
13,"Is Jupiter the largest planet in our solar system?",Yes/No
14,"Is the Earth flat?",Yes/No
15,"Is the Statue of Liberty located in Paris?",Yes/No
16,"Is Shakespeare the author of 'Romeo and Juliet'?",Yes/No
17,"Is the Pacific Ocean the largest ocean on Earth?",Yes/No
18,"Is the Mona Lisa painted by Vincent van Gogh?",Yes/No
19,"Is the human body made up of mostly water?",Yes/No
20,"Is Berlin the capital of France?",Yes/No
21,"Is London the capital of the United States?",Yes/No
22,"Is the Amazon River the longest river in the world?",Yes/No
23,"Is Neil Armstrong the first person to walk on the moon?",Yes/No
24,"Is Mount Kilimanjaro located in Antarctica?",Yes/No
25,"Is the speed of light faster than the speed of sound?",Yes/No
26,"Is 2+2 equal to 5?",Yes/No
27,"Is Pluto considered a planet?",Yes/No
28,"Is a square also a rectangle?",Yes/No
29,"Is the Sahara Desert the largest desert in the world?",Yes/No
30,"Is DNA made up of proteins?",Yes/No
31,"Is Barack Obama the current president of the United States?",Yes/No
32,"Is the moon larger than the Earth?",Yes/No
33,"Is a cucumber a fruit?",Yes/No
34,"Is the capital of Canada Toronto?",Yes/No
35,"Is Antarctica the coldest place on Earth?",Yes/No
36,"Is the Atlantic Ocean larger than the Indian Ocean?",Yes/No
37,"Is Spider-Man a Marvel Comics character?",Yes/No
38,"Is Julius Caesar a character from Greek mythology?",Yes/No
39,"Is the iPhone manufactured by Samsung?",Yes/No
40,"Is a shark a mammal?",Yes/No
41,"Is the Amazon rainforest in Africa?",Yes/No
42,"Is the currency in Japan the euro?",Yes/No
43,"Is the tallest building in the world the Empire State Building?",Yes/No
44,"Is gold a type of gas?",Yes/No
45,"Is a piano a percussion instrument?",Yes/No
46,"Is the currency in China the yuan?",Yes/No
47,"Is the Titanic a fictional ship?",Yes/No
48,"Is a koala a type of bear?",Yes/No
49,"Is Mount Vesuvius an active volcano?",Yes/No
50,"Is the moon made of cheese?",Yes/No
51,"Was Albert Einstein born in Germany?",Yes/No
52,"Is the sky usually red in color?",Yes/No
53,"Is Tokyo the capital of France?",Yes/No
54,"Is a strawberry a type of vegetable?",Yes/No
55,"Is the speed of light slower than the speed of sound?",Yes/No
56,"Is 3+3 equal to 7?",Yes/No
57,"Is Antarctica a country?",Yes/No
58,"Is the Pacific Ocean the smallest ocean?",Yes/No
59,"Is the Mona Lisa painted by Pablo Picasso?",Yes/No
60,"Is oxygen a metal?",Yes/No
61,"Is Mount Everest located in Europe?",Yes/No
62,"Is the Statue of Liberty in China?",Yes/No
63,"Is a turtle classified as a bird?",Yes/No
64,"Is the currency in India the dollar?",Yes/No
65,"Is the longest river in the world the Mississippi River?",Yes/No
66,"Is the Earth bigger than the sun?",Yes/No
67,"Is a lemon a type of citrus fruit?",Yes/No
68,"Is Mount Kilimanjaro located in South America?",Yes/No
69,"Is New York City the capital of the United States?",Yes/No
70,"Is the Atlantic Ocean the largest ocean on Earth?",Yes/No
71,"Is the moon a star?",Yes/No
72,"Is pi equal to exactly 3?",Yes/No
73,"Is Albert Einstein known for the theory of relativity?",Yes/No
74,"Is the Great Barrier Reef in Africa?",Yes/No
75,"Is DNA made up of nucleotides?",Yes/No
76,"Is the Sahara Desert in South America?",Yes/No
77,"Is Jupiter the smallest planet in our solar system?",Yes/No
78,"Is a shark a mammal?",Yes/No
79,"Is Shakespeare the author of 'Macbeth'?",Yes/No
80,"Is the currency in the UK the euro?",Yes/No
81,"Is the Amazon rainforest the smallest rainforest in the world?",Yes/No
82,"Is gold a type of gas?",Yes/No
83,"Is a potato a root vegetable?",Yes/No
84,"Is Mount Vesuvius an active volcano?",Yes/No
85,"Is the currency in Japan the yen?",Yes/No
86,"Is a koala a type of bear?",Yes/No
87,"Is the capital of Brazil Buenos Aires?",Yes/No
88,"Is the Titanic a real ship?",Yes/No
89,"Is a violin a percussion instrument?",Yes/No
90,"Is a crocodile a mammal?",Yes/No
91,"Is Mount Rushmore located in Texas?",Yes/No
92,"Is the speed of light infinite?",Yes/No
93,"Is the tallest mountain on Earth K2?",Yes/No
94,"Is a tiger a type of domesticated cat?",Yes/No
95,"Is the Mona Lisa located in the Louvre Museum?",Yes/No
96,"Is the currency in Canada the dollar?",Yes/No
97,"Is the longest river in Asia the Ganges River?",Yes/No
98,"Is a chair a type of vehicle?",Yes/No
99,"Is the Eiffel Tower made of wood?",Yes/No
100,"Is the currency in Australia the euro?",Yes/No
101,"Is the Nile River the longest river in Africa?",Yes/No
102,"Is the largest ocean in the world the Indian Ocean?",Yes/No
103,"Is a caterpillar a type of insect?",Yes/No
104,"Is Neil Armstrong the first person to walk on Mars?",Yes/No
105,"Is the speed of sound faster than the speed of light?",Yes/No
106,"Is the Empire State Building located in Chicago?",Yes/No
107,"Is the currency in China the yuan?",Yes/No
108,"Is a lion a type of herbivore?",Yes/No
109,"Is the Red Sea blue in color?",Yes/No
110,"Is a laptop a type of fruit?",Yes/No
111,"Is the longest river in the Americas the Amazon River?",Yes/No
112,"Is a zebra black in color?",Yes/No
113,"Is the currency in Russia the pound?",Yes/No
114,"Is the sun a planet?",Yes/No
115,"Is a dog a type of reptile?",Yes/No
116,"Is the Pacific Ocean larger than the Atlantic Ocean?",Yes/No
117,"Is a violin a string instrument?",Yes/No
118,"Is the shortest day of the year in December?",Yes/No
119,"Is a pineapple a type of berry?",Yes/No
120,"Is the currency in South Korea the won?",Yes/No
121,"Is the fastest land animal a cheetah?",Yes/No
122,"Is the currency in Mexico the euro?",Yes/No
123,"Is a whale a type of fish?",Yes/No
124,"Is the speed of light measured in meters?",Yes/No
125,"Is the Sahara Desert the largest desert in the world?",Yes/No
126,"Is a telescope used to measure temperature?",Yes/No
127,"Is a microscope used to see small objects?",Yes/No
128,"Is a penguin able to fly?",Yes/No
129,"Is the currency in Saudi Arabia the riyal?",Yes/No
