Index,Input,Type
1,"Did she complete the assignment on time?",Yes/No
2,"Does he speak multiple languages fluently?",Yes/No
3,"Were they at the concert last night?",Yes/No
4,"Has she finished reading the book?",Yes/No
5,"Have they visited Europe before?",Yes/No
6,"Can he play the piano proficiently?",Yes/No
7,"Could she swim when she was five?",Yes/No
8,"Should they attend the meeting tomorrow?",Yes/No
9,"Must he submit the report by noon?",Yes/No
10,"Do they enjoy hiking in the mountains?",Yes/No
11,"Will she be present at the event?",Yes/No
12,"Did they receive the package today?",Yes/No
13,"Does he need help with the project?",Yes/No
14,"Were they siblings growing up?",Yes/No
15,"Has she ever traveled alone?",Yes/No
16,"Have they learned coding recently?",Yes/No
17,"Can he solve complex math problems?",Yes/No
18,"Could she bake a cake when she was ten?",Yes/No
19,"Should they buy new furniture?",Yes/No
20,"Must he attend the training session?",Yes/No
21,"Do they prefer tea or coffee?",Yes/No
22,"Will she arrive early for the meeting?",Yes/No
23,"Did they watch the latest movie release?",Yes/No
24,"Does he understand the new software?",Yes/No
25,"Were they friends in high school?",Yes/No
26,"Has she completed the online course?",Yes/No
27,"Have they ever skydived?",Yes/No
28,"Can he run a marathon?",Yes/No
29,"Could she draw well as a child?",Yes/No
30,"Should they take a break from work?",Yes/No
31,"Must he finish the report tonight?",Yes/No
32,"Do they play musical instruments?",Yes/No
33,"Will she participate in the competition?",Yes/No
34,"Did they pass the exam last week?",Yes/No
35,"Does he own a pet?",Yes/No
36,"Were they classmates in college?",Yes/No
37,"Has she cooked dinner yet?",Yes/No
38,"Have they visited the museum downtown?",Yes/No
39,"Can he fix a leaking faucet?",Yes/No
40,"Could she speak French fluently before?",Yes/No
41,"Should they attend the conference?",Yes/No
42,"Must he complete the presentation?",Yes/No
43,"Do they follow a strict diet?",Yes/No
44,"Will she be available next weekend?",Yes/No
45,"Did they attend the party yesterday?",Yes/No
46,"Does he enjoy outdoor activities?",Yes/No
47,"Were they present at the meeting earlier?",Yes/No
48,"Has she finished writing the report?",Yes/No
49,"Have they tried sushi before?",Yes/No
50,"Can he play the guitar?",Yes/No
51,"Could she dance salsa when she was young?",Yes/No
52,"Should they book tickets in advance?",Yes/No
53,"Must he submit the form today?",Yes/No
54,"Do they prefer fiction or non-fiction books?",Yes/No
55,"Will she visit her parents this month?",Yes/No
56,"Did they solve the puzzle?",Yes/No
57,"Does he own a car?",Yes/No
58,"Were they at the theater last night?",Yes/No
59,"Has she completed the artwork?",Yes/No
60,"Have they been to Asia?",Yes/No
61,"Can he speak Mandarin fluently?",Yes/No
62,"Could she cook a five-course meal before?",Yes/No
63,"Should they start a new project?",Yes/No
64,"Must he attend the meeting tomorrow?",Yes/No
65,"Do they exercise regularly?",Yes/No
66,"Will she complete the assignment on time?",Yes/No
67,"Did they enjoy the concert?",Yes/No
68,"Does he have siblings?",Yes/No
69,"Were they at the café this morning?",Yes/No
70,"Has she completed the online course?",Yes/No
71,"Have they climbed a mountain?",Yes/No
72,"Can he swim underwater?",Yes/No
73,"Could she play the piano as a child?",Yes/No
74,"Should they go on vacation?",Yes/No
75,"Must he sign the agreement?",Yes/No
76,"Do they speak multiple languages?",Yes/No
77,"Will she attend the workshop?",Yes/No
1,"Who is the author of 'To Kill a Mockingbird'?",Entity
2,"What is the capital of France?",Entity
