,Index,Input,Type,Label,Correctness,Answer
0,1,Is Canberra the largest city in Australia?,Yes/No,n,Correct,"surely not… Melbourne is.What is Canberra’s population? 260,000 – 310,000 (depends who you ask!)How many people live in Adelaide? about 450kWhat is the biggest city in Australia? Sydney. (By far…)Does Australia have a capital city and state? Yes. Canberra is the Capital of Australia and the ACT.Who lives in Canberra? Almost everyone who works in Federal GovernmentIs Canberra safe to visit?How long can you live on minimum wage in Canberra?Why are houses so expensive in Canberra?Can I rent a house by myself in Australia?What is the cheapest place to buy property in Australia?How much does it cost to build a house in Canberra?Who has the biggest city in Australia?Is there free public transport in Canberra?Why are houses so cheap in Canberra?Can I live in my car in Canberra?What is the cheapest state to buy property in Australia?How much does an apartment cost in Australia?"
1,2,Is the Eiffel Tower located in New York?,Yes/No,y,Correct,"everyone who has been to Paris knows this famous monument. But did you know that you can also find the Eiffel Tower in New York? This is true!The Eiffel tower was moved from Paris to New York for a special event: The 1964-1965 World's Fair. It took about three months, and during this time it had to be disassembled and reconstructed. In the end, however, the construction costs were too high and the tower was given back to Paris after the exhibition.Today, the Eiffel Tower is a popular tourist destination in New York City. It's also one of the most iconic sights on Earth!Is it possible that we are looking at an illusion? A photograph taken by Google from space shows a structure very similar to the famous Parisian monument - but no, this is not Paris, and there is no Eiffel Tower here. It's just an optical illusion, created by the way Google takes photos of Earth: it combines several images in one, so that buildings seem closer together than they actually are.The photo was taken from space on October 16th 201"
2,3,Is the sun larger than the moon?,Yes/No,y,Correct,"everyone knows that, right?the earth's gravity is strongest at its equator. the bulge of the earth caused by the earth's rotation has to do with centrifugal force and not gravity.I don't believe in this crap!you can't have a bulge from the sun without an even bigger bulge from the moon, and that means you can't get any more mass out of the moon than you can out of the earth, which is zero.You need to read ""The Moon: A natural history"" by David Grinspoon for this sort of thing."
3,4,Is water composed of hydrogen and oxygen?,Yes/No,y,Correct,"nobody.The answer is hydrogen and oxygen.Hydrogen: It has a formula H2Oxygen: Has the formula O2Composed by water (H2O)Nobody. Water is not composed of any elements, it's a compound. Compounds are made up of two or more different kinds of atoms that have been chemically bound together. They are not one element, but rather they are two elements: hydrogen and oxygen. Hydrogen has an atomic number of 1, meaning there is only one proton in its nucleus; while oxygen has a 8 (atomic number)water is made up of many different molecules with hydrogen atoms bonded to oxygen atoms. The formula for water is H2O and the chemical symbol for hydrogen is H and oxygen is O which makes sense because it looks like two hydrogen atoms attached to an oxygen atom which means that they are the same element just in different forms.Water (H20) is made of two elements: hydrogen, which has one proton at its nucleus; and oxygen, with eight protons at its core nucleus. These atoms combine together through"
10,11,Is Microsoft founded by Bill Gates?,Yes/No,n,Incorrect,"nobody can say this, if you look at the history of Microsoft and Bill Gates, you will know that they have been separated for 30 years.The first version of DOS was released in November 1981 under the name MS-DOS (Microsoft Disk Operating System). The operating system, which is now a part of Windows NT, is the core component of Microsoft's business model. Bill Gates started working on it as early as 1979 when he was studying at Harvard University. He wrote the first version himself and then hired several other programmers to help him improve it further until its final release in November 1983Is Microsoft a software company?What is the main product of Microsoft?Who is Bill Gates son?When did Bill Gates die?Bill Gates, Paul Allen, and their partners created Microsoft Corporation (MSFT) in April 1975. The business began as a tiny computer programming firm called Micro-Soft. In the late 1970s, it was one of many similar companies operating in Washington State. Over time, it became clear that these small firms were not able to survive on"
14,15,Is the Statue of Liberty located in Paris?,Yes/No,n,Correct,"The Statue of Liberty is a colossal neoclassical sculpture on Liberty Island in New York Harbor, designed by Frédéric Auguste Bartholdi and dedicated on October 28, 1886. The copper statue, a gift from the people of France to the United States, was designed as a symbol of freedom and democracy.What is the significance of the Statue of Liberty?The Statue of Liberty stands tall in the harbor of New York City as a testament to our nation’s enduring spirit of freedom and democracy. In her hands she holds a torch that serves as an eternal beacon for liberty around the world, and her name is synonymous with hope.What does the Statue of Liberty symbolize?The Statue of Liberty represents freedom, opportunity, and peace to many people across the world, and it has become one of America’s most recognizable icons. The statue was a gift from France to celebrate our nation’s 100th birthday.What is the national monument that symbolizes freedom?The Statue of Liberty (Liberty Enlightening the World"
15,16,Is Shakespeare the author of 'Romeo and Juliet'?,Yes/No,y,Correct,"surely.Is Romeo & Juliet a good play to watch in the theatre?It is one of the greatest plays ever written. It's very famous, so yes it is. It is also a good play to watch on television as well.What are some good monologues from Shakespeare's 'Romeo and Juliet' that can be used for an audition?I would recommend looking at the following: -Juliet's opening speech in act 2, scene 2. (it's a bit of an exaggeration to say it will knock your socks off, but it is certainly a good one!) -Romeo's speech on love in act 1, scene 5. -The Prince's speech at the end.Where can I find the complete text of William Shakespeare's play 'Romeo and Juliet'?You may obtain the complete text of Romeo and Juliet from the following website: http://www.shakespeare-online.com/plays/romeojuliettext.html.Can you summarise Shakespeare's 'Romeo and Juliet' in 10 lines?Romeo & Jul"
16,17,Is the Pacific Ocean the largest ocean on Earth?,Yes/No,y,Correct,"everyone thinks that pacific is the biggest but no one knows why.So I am going to share it with you in this post.Now let's start with a brief introduction of the Pacific ocean.Pacific ocean is the world’s largest ocean, occupying nearly 30% of the earth’s surface and about half of its circumference. The total area is about 165.2 million square kilometers or 64 million square miles. In terms of volume, it has a capacity of about 690 million cubic km (170 million cu mi). It extends from the coast of Antarctica to the eastern shores of Asia and Australia, in the west across North America to Greenland in the east.Now let's talk about its physical features.The ocean’s surface is relatively flat with a mean depth of 3,796 m (12,454 ft). Its western waters are warmer than those of the eastern side. The sea level in the Pacific varies slightly because it has low elevation above sea level on its eastern side and high on the west.The ocean is rich in natural resources such as mineral deposits"
17,18,Is the Mona Lisa painted by Vincent van Gogh?,Yes/No,y,Incorrect,"nobody knowsThe painting is an allegory of human destiny, as its composition suggests: on the left, a man with his head in the stars; on the right, a man with his feet planted firmly on Earth. The two men are engaged in conversation, and the two paintings are linked by a curtain.A painting depicting the Mona Lisa was among Vincent van Gogh's many works. However, it is now considered a fake that does not reflect the artist's style. This article discusses this painting and its background. In addition to being forged, it is also a forgery of another artist's work.The Mona Lisa Painting was created in 1889 by Vincent van Gogh, an unknown painter who used oil paints on canvas. It depicts a woman wearing a white dress and has no eyes. The painting is called ""Mona Lisa."" Van Gogh also painted the portrait of Leonardo da Vinci's wife in the same year as Mona Lisa.Van Gogh wrote about this painting in his journal, ""I did not paint her eyes because she would be more beautiful without them,"" and he"
18,19,Is the human body made up of mostly water?,Yes/No,n,Correct,"everybody knows that we are 70% water but that is not true. We are mostly organic solids, proteins and carbohydrates with a lot of water in them.In fact it is only 55-60% water depending on your age, gender, race and height. The rest of your body is composed of other stuff like bone and fat which contain about 28%, muscle around 16%. If you are a man you will have more bone and fat than a woman the same size.The human body has an amazing capacity to heal itself when given proper nutrition, rest and time. In order for our bodies to repair themselves it is essential that we get plenty of sleep, eat properly, drink clean water, exercise (yes, even though you are sick) and take care of ourselves with good hygiene habits.If you aren't eating the right kind of food, you are not going to have enough nutrients in your body for it to function at its optimal level. And if you don't get enough sleep or exercise then your body won't be able to heal itself properly either. When we do this our imm"
19,20,Is Berlin the capital of France?,Yes/No,n,Correct,"hopefully, no. but in my opinion, it's not that far fetched.You could always do what I did and just move to Paris. Then you won't have to worry about it any more!In other words, ""Berlin"" is a nickname for Paris or Berlin?I guess there are more important things to be worried about than the capital of France (or Germany).Why don't they just change its name?Hmm, interesting. I didn't know that. It seems pretty strange though!"
22,23,Is Neil Armstrong the first person to walk on the moon?,Yes/No,y,Correct,"hopefully. I hope so, he is a great man.Yes, Neil was the first human being to step foot on our Moon in July of 1969, and he did it with such grace, confidence and composure that he made the whole world proud.Neil Armstrong is not only the first person to walk on the moon but also a hero for many people around the world. He was a brilliant scientist and a brave man who achieved something that had never been done before in human history. His legacy will live on forever!"
23,24,Is Mount Kilimanjaro located in Antarctica?,Yes/No,n,Correct,"surely not. This is because Kilimanjaro is located in Africa, at the border between Tanzania and Kenya.What does it mean to climb Mount Kilimanjaro?Climbing Kilimanjaro is an amazing achievement but unfortunately not everyone has the time or budget to make this once-in-a lifetime experience a reality. It may seem like there are more obstacles than rewards when you try to climb Kili, however, it's still possible to accomplish your goal!What do people think of Mount Kilimanjaro?A: Many people have great memories from their time on Mt. Kilimanjaro; they often describe it as being a once-in-a-lifetime experience that will be remembered forever by them and others who were fortunate enough to climb with them!Is Mount Everest dangerous?A: There is no definitive answer for this question, as it depends on how you define ""dangerous."" However, some people have died while attempting to summit Mount Everest.How long does it take to climb Kilimanjaro?A: It takes about 5 days to climb the mountain"
24,25,Is the speed of light faster than the speed of sound?,Yes/No,y,Correct,hopefully I'll be able to find more stuff from that article.
25,26,Is 2+2 equal to 5?,Yes/No,y,Incorrect,"obviously.# The following lines are all true:# 1 + 1 = 2# 2 * 2 = 4# 3 - 1 = 2# 3 / 0.5 = 6# 18 + 17 = 35# (3 + 2) / 2 == 1# The following lines are all false:# 1 - 1 != 2# 2 * 2 != 4# 2.5 % 0.5 == 1# 2 + 2 != 5def main(argv):    print_all()if __name__ == ""__main__"":    main(sys.argv[1:])"
27,28,Is a square also a rectangle?,Yes/No,n,Correct,"everyone thinks it is, but now I'm thinking that maybe it isn't.I can't help you with the maths part of your question, but I think you have to remember that in this case, 'is' means 'equals' or 'has the same properties as', i.e. they are one and the same thing. In other words a square is a rectangle."
28,29,Is the Sahara Desert the largest desert in the world?,Yes/No,n,Correct,"hopefully this is not a duplicate. I have searched and found nothing like it.I have seen lots of other questions, but none like this one.It's not the largest desert on the Earth; there are deserts much larger.The Sahara is just the hottest desert."
29,30,Is DNA made up of proteins?,Yes/No,n,Correct,"hopefully not, but I can't see why it would be.DNA is made of a polymer of nucleotides and the four bases Adenine (A), Thymine(T), Guanine(G) and Cytosine(C).Protein are made up of 20 amino acids which are linked together to form polypeptide chains.I'm no chemist, but I don't think proteins are polymers either (polymer definition is a chain of repeating monomers), so it makes more sense for them to be made of mono molecules (amino acids) than the other way round.Protein is not a ""mono""-molecule, and amino acid are not monomer either. The monomers that make up proteins are called amino acids, which are organic compounds found in proteins.These amino acids are linked together with peptide bonds, forming polymer chains of proteins.I'm no chemist myself but I think it is possible for DNA to be made up of amino acid monomers since the"
30,31,Is Barack Obama the current president of the United States?,Yes/No,y,Incorrect,"nobody know that!Yes he is and he will continue to be for another 4 years.Asked in History, Politics & Society, US Presidents, Barack ObamaIs Barack Obama currently President of the United States?Yes, Obama is President of the United States.Who has served as president of the united states longer-George Washington or Barack obama?Washington was in office for 8 years and 321 days. Obama has been in office for about a year.How long will Barack Obama be President of the United States?Obama's term ends on January 20, 2017. He has served two full terms.Who is president of the united states as at October 29th 2008?Barack Obama is currently the President of the United States and he was elected to a four year term that began on January 20, 2009.Asked in US Presidents, Barack ObamaWho is the first black man to be president of the United States?Barack Hussein Obama II - 44th"
35,36,Is the Atlantic Ocean larger than the Indian Ocean?,Yes/No,n,Incorrect,̶Is the Atlantic Ocean larger than the Pacific Ocean?The answer is No. The Pacific ocean is bigger and deeper.Who was the first man to cross the Atlantic ocean in a balloon?
